# BLASTN 2.14.1+
# Query: homSap_RSAD2_CCDS1656
# Database: nr					
# Fields: subject id, ?
# 207 hits found
gi|1519313597|ref|NM_080657.5| Homo sapiens radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant 1, mRNA
gi|2462578429|ref|XM_054344503.1| PREDICTED: Homo sapiens radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant X1, mRNA
gi|17974549|gb|AF442151.1|AF442151 Homo sapiens viperin mRNA, complete cds
gi|164690472|dbj|AK312670.1| Homo sapiens cDNA, FLJ93063, highly similar to Homo sapiens viperin (cig5), mRNA
gi|17389924|gb|BC017969.1| Homo sapiens radical S-adenosyl methionine domain containing 2, mRNA (cDNA clone MGC:24122 IMAGE:4669203), complete cds
gi|525343096|ref|NM_001279645.1| Gorilla gorilla gorilla radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA >gi|397134544|gb|JQ437822.1| Gorilla gorilla radical S-adenosyl methionine domain-containing protein 2 (RSAD2) mRNA, complete cds
gi|2612970|gb|AF026941.1|AF026941 Homo sapiens cig5 mRNA, partial sequence
gi|2490766093|ref|XM_003812050.4| PREDICTED: Pan paniscus radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant X2, mRNA
gi|2490766091|ref|XM_055108293.1| PREDICTED: Pan paniscus radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant X1, mRNA
gi|525344635|ref|NM_001280531.1| Pan troglodytes radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA >gi|397134542|gb|JQ437821.1| Pan troglodytes radical S-adenosyl methionine domain-containing protein 2 (RSAD2) mRNA, complete cds
gi|397134546|gb|JQ437823.1| Pongo pygmaeus radical S-adenosyl methionine domain-containing protein 2 (RSAD2) mRNA, complete cds
gi|2463471625|ref|XM_054474401.1| PREDICTED: Pongo pygmaeus radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|207079832|ref|NM_001135534.1| Pongo abelii radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA >gi|55727265|emb|CR858150.1| Pongo abelii mRNA; cDNA DKFZp468O0611 (from clone DKFZp468O0611)
gi|1743178083|ref|XM_003276541.3| PREDICTED: Nomascus leucogenys radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|397134550|gb|JQ437825.1| Hylobates agilis radical S-adenosyl methionine domain-containing protein 2 (RSAD2) mRNA, complete cds
gi|2552996642|ref|XM_032172132.2| PREDICTED: Hylobates moloch radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|1751249588|ref|XM_010359224.2| PREDICTED: Rhinopithecus roxellana radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|1059194636|ref|XM_017896627.1| PREDICTED: Rhinopithecus bieti radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|2295515926|gb|MW981598.1| Macaca mulatta radical S-adenosyl methionine domain containing 2 (RSAD2) mRNA, complete cds
gi|1381434820|ref|XM_011749452.2| PREDICTED: Macaca nemestrina radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant X1, mRNA
gi|2309356563|ref|XM_050754703.1| PREDICTED: Macaca thibetana thibetana radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|2491614232|ref|XM_055252063.1| PREDICTED: Symphalangus syndactylus radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|1411102863|ref|XM_025354794.1| PREDICTED: Theropithecus gelada radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
gi|2161834212|ref|XM_005576618.3| PREDICTED: Macaca fascicularis radical S-adenosyl methionine domain containing 2 (RSAD2), transcript variant X1, mRNA
gi|526252819|ref|NM_001281312.1| Macaca mulatta radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA >gi|397134560|gb|JQ437830.1| Macaca mulatta radical S-adenosyl methionine domain-containing protein 2 (RSAD2) mRNA, complete cds
gi|795077791|ref|XM_011993644.1| PREDICTED: Mandrillus leucophaeus radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA
